Month Year User Service Unit
mar 2012 skk Anytime 37
mar 2012 skk Mobile 50
mar 2012 skk Text 194
mar 2012 skk Night 3
mar 2012 skk PictureMail 0
mar 2012 skk S3G 991230
mar 2012 skk S3GRoaming 2393
mar 2012 skk S4G 1790899
mar 2012 spk Anytime 13
mar 2012 spk Mobile 28
mar 2012 spk Text 158
mar 2012 spk Night 16
mar 2012 spk PictureMail 0
mar 2012 spk S3G 596533
mar 2012 spk S3GRoaming 142
mar 2012 spk S4G 1358411
mar 2012 akk Anytime 1
mar 2012 akk Mobile 199
mar 2012 akk Text 367
mar 2012 akk Night 164
mar 2012 akk PictureMail 0
mar 2012 akk S3G 327461
mar 2012 akk S3GRoaming 317
mar 2012 akk S4G 93667
apr 2012 skk Anytime 5
apr 2012 skk Mobile 45
apr 2012 skk Text 173
apr 2012 skk Night 5
apr 2012 skk PictureMail 6
apr 2012 skk S3G 831520
apr 2012 skk S3GRoaming 3512
apr 2012 skk S4G 1321561
apr 2012 spk Anytime 1
apr 2012 spk Mobile 2
apr 2012 spk Text 136
apr 2012 spk Night 4
apr 2012 spk PictureMail 7
apr 2012 spk S3G 774136
apr 2012 spk S3GRoaming 104
apr 2012 spk S4G 102771
apr 2012 akk Anytime 53
apr 2012 akk Mobile 276
apr 2012 akk Text 378
apr 2012 akk Night 226
apr 2012 akk PictureMail 5
apr 2012 akk S3G 409778
apr 2012 akk S3GRoaming 1711
apr 2012 akk S4G 86708
may 2012 skk Anytime 4
may 2012 skk Mobile 1
may 2012 skk Text 143
may 2012 skk Night 5
may 2012 skk PictureMail 0
may 2012 skk S3G 845180
may 2012 skk S3GRoaming 3477
may 2012 skk S4G 2160
may 2012 spk Anytime 4
may 2012 spk Mobile 26
may 2012 spk Text 99
may 2012 spk Night 2
may 2012 spk PictureMail 4
may 2012 spk S3G 760622
may 2012 spk S3GRoaming 12
may 2012 spk S4G 0
may 2012 akk Anytime 20
may 2012 akk Mobile 34
may 2012 akk Text 349
may 2012 akk Night 75
may 2012 akk PictureMail 3
may 2012 akk S3G 297087
may 2012 akk S3GRoaming 124
may 2012 akk S4G 324
jun 2012 skk Anytime 9
jun 2012 skk Mobile 33
jun 2012 skk Text 178
jun 2012 skk Night 3
jun 2012 skk PictureMail 0
jun 2012 skk S3G 390642
jun 2012 skk S3GRoaming 6823
jun 2012 skk S4G 93269
jun 2012 spk Anytime 73
jun 2012 spk Mobile 134
jun 2012 spk Text 99
jun 2012 spk Night 57
jun 2012 spk PictureMail 0
jun 2012 spk S3G 593928
jun 2012 spk S3GRoaming 26927
jun 2012 spk S4G 7447
jun 2012 akk Anytime 7
jun 2012 akk Mobile 24
jun 2012 akk Text 366
jun 2012 akk Night 9
jun 2012 akk PictureMail 1
jun 2012 akk S3G 416808
jun 2012 akk S3GRoaming 2140
jun 2012 akk S4G 438
jul 2012 skk Anytime 6
jul 2012 skk Mobile 14
jul 2012 skk Text 41
jul 2012 skk Night 0
jul 2012 skk PictureMail 0
jul 2012 skk S3G 143726
jul 2012 skk S3GRoaming 9050
jul 2012 skk S4G 92949
jul 2012 spk Anytime 0
jul 2012 spk Mobile 22
jul 2012 spk Text 100
jul 2012 spk Night 0
jul 2012 spk PictureMail 2
jul 2012 spk S3G 455602
jul 2012 spk S3GRoaming 226
jul 2012 spk S4G 16176
jul 2012 akk Anytime 2
jul 2012 akk Mobile 27
jul 2012 akk Text 247
jul 2012 akk Night 3
jul 2012 akk PictureMail 1
jul 2012 akk S3G 425623
jul 2012 akk S3GRoaming 1115
jul 2012 akk S4G 35191
aug 2012 skk Anytime 0
aug 2012 skk Mobile 0
aug 2012 skk Text 1
aug 2012 skk Night 0
aug 2012 skk PictureMail 0
aug 2012 skk S3G 60033
aug 2012 skk S3GRoaming 0
aug 2012 skk S4G 8936
aug 2012 spk Anytime 2
aug 2012 spk Mobile 34
aug 2012 spk Text 187
aug 2012 spk Night 16
aug 2012 spk PictureMail 9
aug 2012 spk S3G 1505129
aug 2012 spk S3GRoaming 1181
aug 2012 spk S4G 11306
aug 2012 akk Anytime 7
aug 2012 akk Mobile 5
aug 2012 akk Text 340
aug 2012 akk Night 0
aug 2012 akk PictureMail 5
aug 2012 akk S3G 1388714
aug 2012 akk S3GRoaming 8383
aug 2012 akk S4G 36814
sep 2012 skk Anytime 0
sep 2012 skk Mobile 0
sep 2012 skk Text 1
sep 2012 skk Night 0
sep 2012 skk PictureMail 3
sep 2012 skk S3G 137900
sep 2012 skk S3GRoaming 0
sep 2012 skk S4G 8936
sep 2012 spk Anytime 5
sep 2012 spk Mobile 21
sep 2012 spk Text 171
sep 2012 spk Night 5
sep 2012 spk PictureMail 9
sep 2012 spk S3G 1461472
sep 2012 spk S3GRoaming 1538
sep 2012 spk S4G 233576
sep 2012 akk Anytime 0
sep 2012 akk Mobile 121
sep 2012 akk Text 898
sep 2012 akk Night 6
sep 2012 akk PictureMail 2
sep 2012 akk S3G 485799
sep 2012 akk S3GRoaming 1418
sep 2012 akk S4G 179255
oct 2012 skk Anytime 0
oct 2012 skk Mobile 0
oct 2012 skk Text 0
oct 2012 skk Night 0
oct 2012 skk PictureMail 0
oct 2012 skk S3G 78453
oct 2012 skk S3GRoaming 0
oct 2012 skk S4G 0
oct 2012 spk Anytime 3
oct 2012 spk Mobile 49
oct 2012 spk Text 127
oct 2012 spk Night 1
oct 2012 spk PictureMail 1
oct 2012 spk S3G 633362
oct 2012 spk S3GRoaming 1093
oct 2012 spk S4G 0
oct 2012 akk Anytime 44
oct 2012 akk Mobile 352
oct 2012 akk Text 616
oct 2012 akk Night 112
oct 2012 akk PictureMail 3
oct 2012 akk S3G 353168
oct 2012 akk S3GRoaming 1934
oct 2012 akk S4G 0
nov 2012 skk Anytime 0
nov 2012 skk Mobile 0
nov 2012 skk Text 1
nov 2012 skk Night 0
nov 2012 skk PictureMail 0
nov 2012 skk S3G 149775
nov 2012 skk S3GRoaming 0
nov 2012 skk S4G 0
nov 2012 spk Anytime 0
nov 2012 spk Mobile 8
nov 2012 spk Text 194
nov 2012 spk Night 0
nov 2012 spk PictureMail 4 
nov 2012 spk S3G 668669
nov 2012 spk S3GRoaming 0
nov 2012 spk S4G 0
nov 2012 akk Anytime 12
nov 2012 akk Mobile 147
nov 2012 akk Text 738
nov 2012 akk Night 178
nov 2012 akk PictureMail 4
nov 2012 akk S3G 444569
nov 2012 akk S3GRoaming 3594
nov 2012 akk S4G 627
dec 2012 skk Anytime 0
dec 2012 skk Mobile 0
dec 2012 skk Text 0
dec 2012 skk Night 0
dec 2012 skk PictureMail 0
dec 2012 skk S3G 171486
dec 2012 skk S3GRoaming 0
dec 2012 skk S4G 0
dec 2012 spk Anytime 1
dec 2012 spk Mobile 29
dec 2012 spk Text 187
dec 2012 spk Night 6
dec 2012 spk PictureMail 1
dec 2012 spk S3G 796864
dec 2012 spk S3GRoaming 756
dec 2012 spk S4G 210847
dec 2012 akk Anytime 0
dec 2012 akk Mobile 42
dec 2012 akk Text 807
dec 2012 akk Night 19
dec 2012 akk PictureMail 7
dec 2012 akk S3G 507957
dec 2012 akk S3GRoaming 15851
dec 2012 akk S4G 5491
jan 2013 skk Anytime 0
jan 2013 skk Mobile 0
jan 2013 skk Text 2
